"Region, subregion, country or area *",ISO3 Alpha-code,"Total Population, as of 1 July","Male Population, as of 1 July","Female Population, as of 1 July"
Burundi,BDI,11155593,5534391,5621203
Comoros,COM,761664,381884,379781
Djibouti,DJI,1040233,517141,523091
Eritrea,ERI,3396933,1673563,1723370
Ethiopia,ETH,108197950,54418849,53779101
Kenya,KEN,48948137,24296132,24652004
Madagascar,MDG,26169542,13124892,13044649
Malawi,MWI,17881167,8683181,9197987
Mauritius,MUS,1294741,640470,654271
Mayotte,MYT,271565,129608,141957
Mozambique,MOZ,28569441,14002439,14567003
R?union,REU,932739,450194,482545
Rwanda,RWA,12230339,5960539,6269800
Seychelles,SYC,101811,53396,48414
Somalia,SOM,14864221,7450912,7413310
South Sudan,SSD,10658226,5269584,5388641
Uganda,UGA,40127085,19823359,20303726
United Republic of Tanzania,TZA,56267032,27762906,28504126
Zambia,ZMB,17298054,8525934,8772120
Zimbabwe,ZWE,14751101,6940631,7810471
Angola,AGO,30208628,14915293,15293335
Cameroon,CMR,24393181,12157838,12235344
Central African Republic,CAF,4996741,2501138,2495603
Chad,TCD,15085884,7570735,7515149
Congo,COG,5312340,2651836,2660503
Democratic Republic of the Congo,COD,84283273,41799533,42483740
Equatorial Guinea,GNQ,1450694,766354,684340
Gabon,GAB,2140215,1093401,1046814
Sao Tome and Principe,STP,208036,103865,104172
Algeria,DZA,41136546,20961313,20175233
Egypt,EGY,101789386,51515521,50273865
Libya,LBY,6378261,3234556,3143706
Morocco,MAR,35528115,17881446,17646668
Sudan,SDN,40679828,20335703,20344125
Tunisia,TUN,11811443,5853778,5957666
Western Sahara,ESH,518859,286418,232440
Botswana,BWA,2401840,1183506,1218333
Eswatini,SWZ,1151390,568650,582740
Lesotho,LSO,2170617,1069963,1100655
Namibia,NAM,2364534,1142262,1222272
South Africa,ZAF,56641209,27465269,29175940
Benin,BEN,11596779,5800206,5796573
Burkina Faso,BFA,19835858,9870655,9965204
Cabo Verde,CPV,564954,280983,283971
C?te d'Ivoire,CIV,24848016,12572382,12275633
Gambia,GMB,2381182,1182968,1198214
Ghana,GHA,30222262,15073582,15148680
Guinea,GIN,12240789,6024466,6216323
Guinea-Bissau,GNB,1879826,926027,953800
Liberia,LBR,4796631,2383292,2413339
Mali,MLI,19311355,9754475,9556879
Mauritania,MRT,4160015,2033282,2126733
Niger,NER,21737922,11021796,10716126
Nigeria,NGA,193495907,97662955,95832952
Saint Helena,SHN,5495,2872,2623
Senegal,SEN,15157793,7443229,7714564
Sierra Leone,SLE,7677565,3844264,3833302
Togo,TGO,7852795,3943847,3908948
Kazakhstan,KAZ,18314814,8777496,9537317
Kyrgyzstan,KGZ,6121261,3003724,3117536
Tajikistan,TJK,8925525,4486281,4439244
Turkmenistan,TKM,5968383,2955061,3013322
Uzbekistan,UZB,31945682,15980735,15964947
China,CHN,1410275957,721400823,688875134
"China, Hong Kong SAR",HKG,7461519,3448197,4013322
"China, Macao SAR",MAC,638609,301788,336822
"China, Taiwan Province of China",TWN,23665024,11768415,11896609
Dem. People's Republic of Korea,PRK,25516321,12559931,12956390
Japan,JPN,126662472,61614482,65047990
Mongolia,MNG,3096030,1538598,1557431
Republic of Korea,KOR,51511639,25781915,25729724
Afghanistan,AFG,35643418,18028696,17614722
Bangladesh,BGD,161793964,80422431,81371533
Bhutan,BTN,756121,401839,354282
India,IND,1354195680,699587889,654607791
Iran (Islamic Republic of),IRN,84505076,42789954,41715123
Maldives,MDV,472442,272628,199814
Nepal,NPL,28183426,13405797,14777629
Pakistan,PAK,216379655,110003086,106376569
Sri Lanka,LKA,21506813,10385204,11121609
Brunei Darussalam,BRN,430276,223039,207238
Cambodia,KHM,15830689,7834347,7996341
Indonesia,IDN,264498852,133245399,131253454
Lao People's Democratic Republic,LAO,6997917,3528807,3469110
